Energy(keV) 	 Hits(N) 
1804	9325276	
1805	9328849	
1806	9332418	
1807	9335984	
1808	9339546	
1809	9343105	
1810	9346661	
1811	9350214	
1812	9353763	
1813	9357308	
1814	9360851	
1815	9364390	
1816	9367925	
1817	9371457	
1818	9374986	
1819	9378512	
1820	9382034	
1821	9385552	
1822	9389068	
1823	9392579	
1824	9396088	
1825	9399593	
1826	9403095	
1827	9406593	
1828	9410088	
1829	9413579	
1830	9417067	
1831	9420552	
1832	9424033	
1833	9427511	
1834	9430986	
1835	9434457	
1836	9437924	
1837	9441388	
1838	9444849	
1839	9448306	
1840	9451760	
1841	9455211	
1842	9458658	
1843	9462101	
1844	9465542	
1845	9468978	
1846	9472412	
1847	9475841	
1848	9479268	
1849	9482691	
1850	9486110	
1851	9489526	
1852	9492939	
1853	9496348	
1854	9499754	
1855	9503156	
1856	9506555	
1857	9509950	
1858	9513342	
1859	9516731	
1860	9520116	
1861	9523497	
1862	9526875	
1863	9530250	
1864	9533621	
1865	9536988	
1866	9540352	
1867	9543713	
1868	9547070	
1869	9550424	
1870	9553774	
1871	9557121	
1872	9560464	
1873	9563803	
1874	9567140	
1875	9570472	
1876	9573802	
